"資産番号","修正区分","資産名称","資産名略称","型式","索引","資産区分","種類コード","構造コード","細目コード","部門コード","普通償却費仕訳パターン","特別償却費仕訳パターン","設置場所コード","管理者コード","購入先コード","財団コード","売却先コード","原価コード","購入年度コード","減損グループコード","数量","取得価額","18年少額特例区分","圧縮区分","圧縮額","修正後取得価額","当期資本的支出累計","期首帳簿価額","期首償却累計額","内特別償却累計額","当期償却方法","当期耐用年数","当期償却率","当期みなし取得区分","当期みなし取得価額","当期償却限度額","当期手入力区分","当期普通償却額","当期特別償却有無区分","当期特別償却率区分","当期特別償却率","当期特別償却分子","当期特別償却分母","当期特別償却額","当期増加償却有無区分","当期増加償却額","翌期償却方法","翌期耐用年数","翌期償却率","翌期みなし取得区分","翌期みなし取得価額","翌期償却限度額","翌期手入力区分","翌期普通償却額","翌期特別償却有無区分","翌期特別償却率区分","翌期特別償却率","翌期特別償却分子","翌期特別償却分母","翌期特別償却額","翌期増加償却有無区分","翌期増加償却額","除売却区分","除売却年月日","売却額","当期首繰越額","当期認容額","当期末繰越額","翌期認容額","翌期末繰越額","購入日","取得日","償却開始日","初年度償却","残存率","残存価額","償却可能率","償却可能額","翌々期償却費","翌３期償却費","翌４期償却費","翌５期償却費","償却済区分","償却済年","備考コード１","備考１","備考コード２","備考２","備考コード３","備考３","備考コード４","備考４","備考コード５","備考５","償却資産申告種別","申告先コード","前年度申告時帳簿価額","前年度申告時評価額","取得資産の扱い","償却資産申告耐用年数の指定","償却資産申告耐用年数","申告資産区分","特例課税率分母","特例課税率分子","適用終了年度","当期償却実施額","翌期償却実施額","前期繰越超過額","前期繰越不足額","会計期首帳簿価額","会計期首償却累計額","当期切捨てる償却不足額","翌期切捨てる償却不足額","当期条項①","当期条項②","翌期条項①","翌期条項②","前期以前発生区分","減損損失累計額","減損後帳簿価額","残存手入力区分","減損後残存価額","減損後耐用年数","償却率修正区分","償却率","計算の基礎となる金額","当期月額償却費手入力区分","当期第１月","当期第２月","当期第３月","当期第４月","当期第５月","当期第６月","当期第７月","当期第８月","当期第９月","当期第１０月","当期第１１月","当期第１２月","翌期月額償却費手入力区分","翌期第１月","翌期第２月","翌期第３月","翌期第４月","翌期第５月","翌期第６月","翌期第７月","翌期第８月","翌期第９月","翌期第１０月","翌期第１１月","翌期第１２月","備忘価額区分","残存償却区分","改定取得価額","改定年月日","会計期首改定取得価額","会計期首改定年月日","減損後改定取得価額","減損後改定年月日","残存償却開始年月日","当期調整前償却額","当期償却月数","当期償却超過取崩額","当期税法限度額","当期減損前償却状態区分","翌期調整前償却額","翌期償却月数","翌期償却超過取崩額","翌期税法限度額","翌期減損前償却状態区分","翌期期首帳簿価額","翌期期首償却累計額","翌期償却超過額","翌期会計期首帳簿価額","翌期会計期首償却累計額","当期改定償却限度額","翌期改定償却限度額","税法上取引","リース期間月数","契約満了日","残価保証額","減損後残存月数","前年申告時耐用年数","申告耐用年数クリア区分","申告時摘要上段","申告時摘要下段","資産除去債務区分","対応資産番号","除去費用見積額","除去費用割引率","除去費用償却年数","利息費用仕訳パターン","短縮特例適用区分","短縮特例適用年月日","短縮特例適用時帳簿価額","定率法均等償却適用区分","会計短縮特例適用時帳簿価額","会計定率法均等償却適用区分","翌期残存率","翌期残存価額","翌期償却可能率","翌期償却可能額","翌期備忘価額区分","翌期残存償却区分","償却基準区分","リース会社コード","契約番号"
"21","4","ﾏｯｽﾙｽｰﾂ　2B030　　　農林057　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22","4","ﾏｯｽﾙｽｰﾂ　2B031　　　農林058　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23","4","ﾏｯｽﾙｽｰﾂ　2B032　　　農林059　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","4","ﾏｯｽﾙｽｰﾂ　2B033　　　農林060　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25","4","ﾏｯｽﾙｽｰﾂ　2B034　　　農林061　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","4","ﾏｯｽﾙｽｰﾂ　2B035　　　農林062　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27","4","ﾏｯｽﾙｽｰﾂ　2B036　　　農林063　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28","4","ﾏｯｽﾙｽｰﾂ　2B037　　　農林064　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29","4","ﾏｯｽﾙｽｰﾂ　2B038　　　農林065　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","4","ﾏｯｽﾙｽｰﾂ　2B039　　　農林066　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31","4","ﾏｯｽﾙｽｰﾂ　2B040　　　農林067　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","4","ﾏｯｽﾙｽｰﾂ　2B041　　　農林068　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33","4","ﾏｯｽﾙｽｰﾂ　2B042　　　農林069　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34","4","ﾏｯｽﾙｽｰﾂ　2B043　　　農林070　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","4","ﾏｯｽﾙｽｰﾂ　2B044　　　農林071　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36","4","ﾏｯｽﾙｽｰﾂ　2B045　　　農林072　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37","4","ﾏｯｽﾙｽｰﾂ　2B046　　　農林073　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38","4","ﾏｯｽﾙｽｰﾂ　2B047　　　農林074　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39","4","ﾏｯｽﾙｽｰﾂ　2B048　　　農林075　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41","4","ﾏｯｽﾙｽｰﾂ　2B050　　　農林077　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","4","ﾏｯｽﾙｽｰﾂ　2B051　　　農林078　　　　　　",,,,,"5",,,"000000",,,,,,,"00000000000","0",,,"1","457600","0","1","305066",,,"56622","419851",,,"10","0.2","0","0","18873",,"18873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015/3/30","2015/3/30","2015/3/30","2","1",,,,,,,,"0","0",,,,,,,,,,,"6","0001",,,,,,"0",,,,"18873",,,,,,,,,,,,"0",,,"0",,,"0",,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"75495",,,,,,,"11324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
